Age:,Gender:,Faculty:,Department:,Do you agree-,Which type of platforms  did you use?,How long was the average class time?,Average classes per week:,What is your preferred online class duration?,How long have you been doing online classes?,Satisfactory level in online class:,Did you feel any mental disturbance during online class? ,What kind of mental disturbance did you feel during online class?,Did you face any physical  problem during online class? ,What kind of physical problem  did you face during online class? ,How attentive do you think you were in the online classes ?,Do you prefer online classes over direct classes?,Your understanding level in Online class vs. Direct Class: [Online Class],Your understanding level in Online class vs. Direct Class: [Direct class]
22.0,Female,Faculty of Life & Earth Science,Department of Biochemistry & Molecular Biology,Agree,Zoom,1.0,3.0,45 - 60 minutes,2 Semister,3.0,Yes,"Felt bored, Attention split, Depression, Mood swing",Yes,"Sore, tiredness in eye, burning or itching eyes, Watery or dry eyes, Headache, Sore neck, shoulders or back, Increased sensitivity to light, Back pain, Neck pain",,,,
22.0,Female,Faculty of Life & Earth Science,Department of Biochemistry & Molecular Biology,Agree,Google Meet,3.0,16.0,45 - 60 minutes,,5.0,Yes,"Felt bored, Anxiety",Yes,"Sore, tiredness in eye, burning or itching eyes, Watery or dry eyes, Blurred or double vision, Headache, Feeling that you cannot keep your eyes open, Back pain, Neck pain, Shoulder ache",,,,
22.0,Female,Faculty of Life & Earth Science,Department of Microbiology,Agree,"Zoom, Google Meet",4.0,3.0,45 - 60 minutes,2 semester,3.0,Yes,"Felt bored, Attention split, Depression, Mood swing",Yes,"Sore, tiredness in eye, burning or itching eyes, Watery or dry eyes, Headache, Sore neck, shoulders or back, Back pain, Neck pain",,,,
22.0,Male,Faculty of Life & Earth Science,Department of Microbiology,Agree,"Zoom, Google Meet",1.5 Hours,20.0,45 - 60 minutes,2 semester,5.0,Yes,"Felt bored, Attention split",Yes,"Back pain, Exhaustion",3.0,Yes,Avarage,good
21.0,Female,Faculty of Life & Earth Science,Department of Microbiology,Agree,Zoom,2 Hours,14.0,45 - 60 minutes,2 semester,4.0,Yes,"Felt bored, Attention split, Anxiety, Monotonous",Yes,"Watery or dry eyes, Headache, Increased sensitivity to light",8.0,No,Low,good
23.0,Female,Faculty of Life & Earth Science,Department of Microbiology,Agree,"Zoom, Google Meet",1.5 Hours,7.0,45 - 60 minutes,2 semester,5.0,Yes,Attention split,No,,5.0,No,Avarage,Very good
22.0,Female,Faculty of Life & Earth Science,Department of Microbiology,Agree,Zoom,1.5 Hours,14.0,45 - 60 minutes,2 semester,6.0,Yes,"Felt bored, Attention split, Monotonous",Yes,"Tiredness in eye, Headache, Back pain, Neck pain, Shoulder ache, Exhaustion",6.0,No,Avarage,Very good
21.0,Female,Faculty of Life & Earth Science,Department of Microbiology,Agree,Zoom,1 Hours,3.0,45 - 60 minutes,2 semester,9.0,No,,No,,5.0,No,Avarage,Very good
22.0,Male,Faculty of Life & Earth Science,Department of Microbiology,Agree,"Zoom, Skype",1.5 Hours,5.0,45 - 60 minutes,2 semester,2.0,Yes,Felt bored,No,,1.0,,Low,good
23.0,Male,Faculty of Life & Earth Science,Department of Microbiology,Agree,"Zoom, Google Meet",1 Hours,7.0,45 - 60 minutes,2 semester,7.0,Yes,Monotonous,No,,5.0,Yes,Low,Avarage
20.0,Male,Faculty of Life & Earth Science,Department of Microbiology,Agree,Zoom,1 Hours,10.0,45 - 60 minutes,2 semester,8.0,No,,No,,7.0,No,Low,good
